method	n	parents	mean_sealed_margin_gain	mean_sealed_target_gain	positive_margin_fraction	mean_sealed_uncertainty
greedy_malinois	7200	600	0.821676375392279	1.8025144988354067	0.9711111111111111	0.3291804217780009
primary_beam	7200	600	0.8807057685900478	1.8661440274047618	0.9481944444444445	0.33478829520314723
random_matched	7200	600	0.0008930572784171372	0.011862627969443294	0.48569444444444443	0.18541127759678697
safeedit_consensus	7200	600	0.8771441732359189	1.6613032042646825	0.9536111111111111	0.313928960273301
