parent_id	exclusion_reason
7:1132996:NA:NA	Overlap with exploratory G4 benchmark set (provenance correction: non-overlapping parent requirement)
7:135012329:NA:NA	Overlap with exploratory G4 benchmark set (provenance correction: non-overlapping parent requirement)
7:35653228:NA:NA	Overlap with exploratory G4 benchmark set (provenance correction: non-overlapping parent requirement)
7:39699259:NA:NA	Overlap with exploratory G4 benchmark set (provenance correction: non-overlapping parent requirement)
7:6894949:NA:NA	Overlap with exploratory G4 benchmark set (provenance correction: non-overlapping parent requirement)
7:73140239:NA:NA	Overlap with exploratory G4 benchmark set (provenance correction: non-overlapping parent requirement)
